Title,Artist,Release Date,Year,Popularity,Track ID,Valence,Energy,Danceability,Loudness,Acousticness,Spotify_Link,Cluster,Mood
Don't Sleep (feat. Thundercat),Victoria Monét,10/4/2024,2024,56,3p0xEoo2jRjshhCplkF8S5,0.362,0.658,0.719,-7.517,0.475,https://open.spotify.com/track/3p0xEoo2jRjshhCplkF8S5,0,Anxious
Because I Love You,Halle,8/30/2024,2024,57,7i2H2HgdJjwpxTRt8NW8jY,0.325,0.458,0.548,-7.433,0.106,https://open.spotify.com/track/7i2H2HgdJjwpxTRt8NW8jY,2,Sad
One Wish (feat. Childish Gambino),Ravyn Lenae,7/26/2024,2024,59,3iHpwGD3h3Bj87KrJEBMI4,0.52,0.548,0.407,-9.403,0.247,https://open.spotify.com/track/3iHpwGD3h3Bj87KrJEBMI4,1,Calm
Leave My Baby Tonight (feat. GloRilla),Muni Long,8/30/2024,2024,52,79Az2dOKvoR2hfVEIRZd1D,0.487,0.525,0.776,-7.378,0.321,https://open.spotify.com/track/79Az2dOKvoR2hfVEIRZd1D,1,Calm
KEHLANI (REMIX) [feat. Kehlani],Jordan Adetunji,6/20/2024,2024,75,5Nt2FMqnKI2mlp7lztURNo,0.219,0.699,0.408,-3.607,0.0759,https://open.spotify.com/track/5Nt2FMqnKI2mlp7lztURNo,0,Anxious
No Broke Boys,Tinashe,8/16/2024,2024,63,5yTYLJY7Atcew0MHm7bmjk,0.275,0.554,0.773,-5.979,0.103,https://open.spotify.com/track/5yTYLJY7Atcew0MHm7bmjk,0,Anxious
Alright,Victoria Monét,8/25/2023,2023,65,3OgdnA3LYpJ6vxrfk6X3p4,0.464,0.528,0.788,-6.688,0.279,https://open.spotify.com/track/3OgdnA3LYpJ6vxrfk6X3p4,1,Calm
In The Night (feat. Jorja Smith & Amaarae),Childish Gambino,7/19/2024,2024,64,11bJ1ws3dathgY9uzADUhL,0.356,0.59,0.69,-9.624,0.0468,https://open.spotify.com/track/11bJ1ws3dathgY9uzADUhL,0,Anxious
Love Me JeJe,Tems,6/6/2024,2024,72,1eDI5oU04SLsXl0TfxfwYf,0.531,0.516,0.834,-10.871,0.156,https://open.spotify.com/track/1eDI5oU04SLsXl0TfxfwYf,1,Calm
Favorite (feat. Anderson .Paak),Chlöe,8/9/2024,2024,54,7tWfPoTJQu7QzbQmy3omtL,0.843,0.953,0.686,-2.903,0.181,https://open.spotify.com/track/7tWfPoTJQu7QzbQmy3omtL,3,Happy
Light Work,Elmiene,8/19/2024,2024,57,2N9pTSlybRM6XIqOvSfkM1,0.543,0.76,0.582,-6.079,0.218,https://open.spotify.com/track/2N9pTSlybRM6XIqOvSfkM1,0,Anxious
To The Moon,Blxst,7/19/2024,2024,51,6dfCnnBrqYANJSU3tpG5pI,0.686,0.5,0.653,-9.81,0.474,https://open.spotify.com/track/6dfCnnBrqYANJSU3tpG5pI,1,Calm
YOU DON’T KNOW (feat. Alex Isley),Ambré,8/9/2024,2024,52,4WVarJWtCuMLNPsOgLMBOC,0.409,0.526,0.398,-7.407,0.73,https://open.spotify.com/track/4WVarJWtCuMLNPsOgLMBOC,0,Anxious
N o C h i l l,PARTYNEXTDOOR,4/26/2024,2024,78,1zhMHgotgZXkLCXpqNRnPK,0.062,0.411,0.575,-9.022,0.509,https://open.spotify.com/track/1zhMHgotgZXkLCXpqNRnPK,2,Sad
Check,FLO,8/2/2024,2024,65,3tNa8xKl7HWeXHFYNnttvD,0.413,0.792,0.573,-5.441,0.155,https://open.spotify.com/track/3tNa8xKl7HWeXHFYNnttvD,0,Anxious
ART,Tyla,3/22/2024,2024,72,40ds3xedbMkWhszkGnZwxi,0.714,0.587,0.716,-5.52,0.0853,https://open.spotify.com/track/40ds3xedbMkWhszkGnZwxi,1,Calm
Songs About U,Tink,7/12/2024,2024,47,59he0LDDckppVmd2NpHWBp,0.275,0.475,0.653,-6.554,0.393,https://open.spotify.com/track/59he0LDDckppVmd2NpHWBp,2,Sad
Last Heartbreak Song (feat. Giveon),Ayra Starr,5/30/2024,2024,71,1A1ifX8sWzelNpkL5PxcHT,0.618,0.624,0.685,-5.101,0.318,https://open.spotify.com/track/1A1ifX8sWzelNpkL5PxcHT,1,Calm
Good Girls Finish Last,Queen Naija,9/6/2024,2024,54,3j8hlB1QSlKvWgDAym77x4,0.431,0.555,0.48,-4.712,0.462,https://open.spotify.com/track/3j8hlB1QSlKvWgDAym77x4,0,Anxious
Think Different,Lucky Daye,6/28/2024,2024,48,677qOFSBpe68eqAbKu9ggT,0.562,0.632,0.696,-8.613,0.0442,https://open.spotify.com/track/677qOFSBpe68eqAbKu9ggT,1,Calm
Witchy (feat. Childish Gambino),KAYTRANADA,6/7/2024,2024,68,1PxKsGzQcmiwDHvA9ig5gv,0.319,0.619,0.592,-8.183,0.00125,https://open.spotify.com/track/1PxKsGzQcmiwDHvA9ig5gv,0,Anxious
1:59 (feat. Gunna),Normani,4/26/2024,2024,54,4nncvBrXyuKNg5jfBnJ1dR,0.697,0.581,0.531,-6.429,0.312,https://open.spotify.com/track/4nncvBrXyuKNg5jfBnJ1dR,1,Calm
FromHere (feat. Snoop Dogg & October London),NxWorries,5/14/2024,2024,50,1kJK2dkXbMw8yOMFEuJUm7,0.479,0.517,0.374,-12.515,0.288,https://open.spotify.com/track/1kJK2dkXbMw8yOMFEuJUm7,1,Calm
SAME MISTAKE,DESTIN CONRAD,1/12/2024,2024,48,3VQ5lMMpas43wu1xIQuu0s,0.191,0.367,0.654,-10.471,0.394,https://open.spotify.com/track/3VQ5lMMpas43wu1xIQuu0s,2,Sad
Saturn,SZA,2/22/2024,2024,86,1bjeWoagtHmUKputLVyDxQ,0.337,0.619,0.411,-6.834,0.62,https://open.spotify.com/track/1bjeWoagtHmUKputLVyDxQ,0,Anxious
Girls Need Love,Summer Walker,10/19/2018,2018,70,644rGY6maSElnKVsAg1gJj,0.123,0.418,0.645,-10.065,0.558,https://open.spotify.com/track/644rGY6maSElnKVsAg1gJj,2,Sad
Just Might (with PARTYNEXTDOOR),Summer Walker,10/4/2019,2019,68,43IMaycr34ZR5kS8mlL5hH,0.18,0.377,0.69,-7.907,0.672,https://open.spotify.com/track/43IMaycr34ZR5kS8mlL5hH,2,Sad
Switch A Nigga Out,Summer Walker,11/5/2021,2021,59,5Mv7yjian35AddlklJgg1v,0.0393,0.289,0.573,-9.532,0.199,https://open.spotify.com/track/5Mv7yjian35AddlklJgg1v,2,Sad
Don't,Bryson Tiller,10/2/2015,2015,83,3pXF1nA74528Edde4of9CC,0.189,0.356,0.765,-5.556,0.223,https://open.spotify.com/track/3pXF1nA74528Edde4of9CC,2,Sad
Karma,Summer Walker,10/19/2018,2018,69,2Fyjjpg03fn7n5cj0Qm380,0.152,0.294,0.593,-10.072,0.345,https://open.spotify.com/track/2Fyjjpg03fn7n5cj0Qm380,2,Sad
Break from Toronto,PARTYNEXTDOOR,7/1/2013,2013,2,79MSEdtXuudhGhC5AtG07g,0.259,0.678,0.596,-5.18,0.0199,https://open.spotify.com/track/79MSEdtXuudhGhC5AtG07g,0,Anxious
Moment Of Your Life (feat. Coco Jones),Brent Faiyaz,10/27/2023,2023,68,4mYSL3RDHto3rcl7I57ndv,0.562,0.463,0.77,-5.856,0.684,https://open.spotify.com/track/4mYSL3RDHto3rcl7I57ndv,1,Calm
The Weekend,SZA,6/9/2017,2017,73,6gU9OKjOE7ghfEd55oRO57,0.161,0.366,0.4,-9.405,0.242,https://open.spotify.com/track/6gU9OKjOE7ghfEd55oRO57,2,Sad
Exchange,Bryson Tiller,10/2/2015,2015,80,43PuMrRfbyyuz4QpZ3oAwN,0.276,0.433,0.525,-10.598,0.107,https://open.spotify.com/track/43PuMrRfbyyuz4QpZ3oAwN,2,Sad
Inhale,Bryson Tiller,10/2/2020,2020,60,0ycIrEpkyb4lrqE7M1emju,0.571,0.705,0.498,-8.088,0.321,https://open.spotify.com/track/0ycIrEpkyb4lrqE7M1emju,0,Anxious
ROLLING STONE,Brent Faiyaz,7/8/2022,2022,70,0e0JshRej2NwT7jahEmv52,0.334,0.273,0.462,-11.768,0.903,https://open.spotify.com/track/0e0JshRej2NwT7jahEmv52,2,Sad
To the Moon,Phora,8/18/2017,2017,55,6Umac95Mt46VcwAM9s9mOa,0.43,0.572,0.54,-8.665,0.624,https://open.spotify.com/track/6Umac95Mt46VcwAM9s9mOa,0,Anxious
B.E.D. - Remix,Jacquees,9/1/2017,2017,52,5oFK0dJQ5auokDaVYY228m,0.399,0.497,0.708,-8.419,0.00476,https://open.spotify.com/track/5oFK0dJQ5auokDaVYY228m,2,Sad
You,Jacquees,9/7/2018,2018,64,01jIO8SJFnpSiNLH1JaBZ5,0.335,0.453,0.735,-8.264,0.415,https://open.spotify.com/track/01jIO8SJFnpSiNLH1JaBZ5,2,Sad
Essence (feat. Tems),Wizkid,10/29/2020,2020,70,5FG7Tl93LdH117jEKYl3Cm,0.602,0.707,0.849,-6.002,0.0266,https://open.spotify.com/track/5FG7Tl93LdH117jEKYl3Cm,3,Happy
THE NEWS,PARTYNEXTDOOR,3/26/2020,2020,0,46Mk1NVIpCcRIAXY92mWAW,0.276,0.465,0.74,-8.27,0.304,https://open.spotify.com/track/46Mk1NVIpCcRIAXY92mWAW,2,Sad
Finesse,Drake,6/29/2018,2018,72,2WP8G2pdddDmnh1xbfKBOI,0.299,0.319,0.807,-8.152,0.133,https://open.spotify.com/track/2WP8G2pdddDmnh1xbfKBOI,2,Sad
Ready (feat. Gunna),Lil Baby,11/30/2018,2018,69,4F6yN5FsFW10Ucx7cLCzBh,0.128,0.395,0.793,-5.578,0.277,https://open.spotify.com/track/4F6yN5FsFW10Ucx7cLCzBh,2,Sad
Shot Clock,Ella Mai,10/12/2018,2018,60,2GlATHCDbLW7xq5BE0Bz5g,0.442,0.512,0.661,-6.008,0.655,https://open.spotify.com/track/2GlATHCDbLW7xq5BE0Bz5g,0,Anxious
Back To Sleep,Chris Brown,12/18/2015,2015,63,6dlpABcXrQKRU9G00i6Zba,0.721,0.646,0.647,-5.483,0.0424,https://open.spotify.com/track/6dlpABcXrQKRU9G00i6Zba,1,Calm
Trip,Ella Mai,10/12/2018,2018,71,6CTWathupIiDs7U4InHnDA,0.357,0.609,0.477,-5.628,0.222,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA,0,Anxious
Easy,DaniLeigh,5/31/2019,2019,68,4CMrdHWqic0usIZfTrKoI3,0.511,0.301,0.799,-11.361,0.195,https://open.spotify.com/track/4CMrdHWqic0usIZfTrKoI3,2,Sad
Body Party,Ciara,7/5/2013,2013,62,0rFZaQ4crlGAzuCjWCQ2xu,0.12,0.576,0.577,-6.299,0.0143,https://open.spotify.com/track/0rFZaQ4crlGAzuCjWCQ2xu,0,Anxious
oui,Jeremih,12/4/2015,2015,73,0PJIbOdMs3bd5AT8liULMQ,0.604,0.724,0.418,-3.724,0.213,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ,3,Happy
